Year,Quarter,Month,Airport_Code,City,State,Departures_Performed,Arrivals_Performed,Total_Operations
2023,1,1,TTN,"Trenton, NJ",New Jersey,143.0,143.0,286.0
2023,1,1,TUL,"Tulsa, OK",Oklahoma,1252.0,1252.0,2504.0
2023,1,1,TUS,"Tucson, AZ",Arizona,1462.0,1462.0,2924.0
2023,1,1,TVC,"Traverse City, MI",Michigan,218.0,219.0,437.0
2023,1,1,TWF,"Twin Falls, ID",Idaho,37.0,37.0,74.0
2023,1,1,TXK,"Texarkana, AR",Arkansas,90.0,90.0,180.0
2023,1,1,TYR,"Tyler, TX",Texas,90.0,90.0,180.0
2023,1,1,TYS,"Knoxville, TN",Tennessee,925.0,924.0,1849.0
2023,1,1,USA,"Concord, NC",North Carolina,66.0,66.0,132.0
2023,1,1,VCT,"Victoria, TX",Texas,58.0,59.0,117.0
2023,1,1,VEL,"Vernal, UT",Utah,51.0,51.0,102.0
2023,1,1,VLD,"Valdosta, GA",Georgia,82.0,82.0,164.0
2023,1,1,VPS,"Valparaiso, FL",Florida,473.0,473.0,946.0
2023,1,1,WRG,"Wrangell, AK",Alaska,60.0,60.0,120.0
2023,1,1,XNA,"Fayetteville, AR",Arkansas,866.0,865.0,1731.0
2023,1,1,XWA,"Williston, ND",North Dakota,107.0,107.0,214.0
2023,1,1,YAK,"Yakutat, AK",Alaska,60.0,60.0,120.0
2023,1,1,YUM,"Yuma, AZ",Arizona,90.0,90.0,180.0
2023,1,2,ABE,"Allentown/Bethlehem/Easton, PA",Pennsylvania,288.0,289.0,577.0
2023,1,2,ABI,"Abilene, TX",Texas,80.0,79.0,159.0
2023,1,2,ABQ,"Albuquerque, NM",New Mexico,1559.0,1559.0,3118.0
2023,1,2,ABR,"Aberdeen, SD",South Dakota,55.0,55.0,110.0
2023,1,2,ABY,"Albany, GA",Georgia,68.0,68.0,136.0
2023,1,2,ACT,"Waco, TX",Texas,81.0,81.0,162.0
2023,1,2,ACV,"Arcata/Eureka, CA",California,136.0,136.0,272.0
2023,1,2,ACY,"Atlantic City, NJ",New Jersey,217.0,217.0,434.0
2023,1,2,ADK,"Adak Island, AK",Alaska,8.0,8.0,16.0
